,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,NAME,total_cases,area_code,tot_mobility
0,17/02/2020,-3,-2,4,-1,-4,,City of London,104,E09000001,-2.5
1,18/02/2020,-2,-2,-1,-2,-2,,City of London,104,E09000001,-2
2,19/02/2020,-7,-4,5,0,-4,,City of London,104,E09000001,-3.75
3,20/02/2020,-7,-7,-11,-3,-3,,City of London,104,E09000001,-5
4,21/02/2020,-3,-2,5,-3,-4,,City of London,104,E09000001,-3
5,24/02/2020,-7,-12,-13,-1,2,,City of London,104,E09000001,-4.5
6,25/02/2020,-1,1,-5,-1,3,,City of London,104,E09000001,0.5
7,26/02/2020,0,-3,1,-3,6,,City of London,104,E09000001,0
8,27/02/2020,0,-4,-9,-1,4,,City of London,104,E09000001,-0.25
9,28/02/2020,-2,-6,-12,0,0,,City of London,104,E09000001,-2
10,02/03/2020,-2,0,-25,-4,4,,City of London,104,E09000001,-0.5
11,03/03/2020,-5,-1,-11,-7,3,,City of London,104,E09000001,-2.5
12,04/03/2020,-6,-5,-7,-5,4,,City of London,104,E09000001,-3
13,05/03/2020,-14,-17,-25,-2,1,,City of London,104,E09000001,-8
14,06/03/2020,-4,2,5,-5,3,,City of London,104,E09000001,-1
15,09/03/2020,-10,-5,-8,-8,-6,,City of London,104,E09000001,-7.25
16,10/03/2020,-14,-5,-17,-10,-2,,City of London,104,E09000001,-7.75
17,11/03/2020,-17,-8,-10,-15,-5,,City of London,104,E09000001,-11.25
18,12/03/2020,-22,-11,-23,-20,-15,,City of London,104,E09000001,-17
19,13/03/2020,-29,-15,-30,-27,-23,,City of London,104,E09000001,-23.5
20,16/03/2020,-40,-20,-42,-40,-38,,City of London,104,E09000001,-34.5
21,17/03/2020,-62,-40,-60,-56,-54,,City of London,104,E09000001,-53
22,18/03/2020,-73,-46,-65,-66,-62,,City of London,104,E09000001,-61.75
23,19/03/2020,-78,-47,-74,-70,-63,,City of London,104,E09000001,-64.5
24,20/03/2020,-82,-54,-77,-73,-64,,City of London,104,E09000001,-68.25
25,23/03/2020,-87,-70,-82,-79,-76,,City of London,104,E09000001,-78
26,24/03/2020,-94,-79,-88,-87,-80,,City of London,104,E09000001,-85
27,25/03/2020,-95,-82,-88,-90,-85,,City of London,104,E09000001,-88
28,26/03/2020,-96,-83,-91,-92,-85,,City of London,104,E09000001,-89
29,27/03/2020,-96,-83,-91,-92,-84,,City of London,104,E09000001,-88.75
30,30/03/2020,-95,-84,-90,-93,-82,,City of London,104,E09000001,-88.5
31,31/03/2020,-96,-84,-92,-93,-85,,City of London,104,E09000001,-89.5
32,01/04/2020,-96,-85,-92,-93,-85,,City of London,104,E09000001,-89.75
33,02/04/2020,-97,-85,-93,-93,-86,,City of London,104,E09000001,-90.25
34,03/04/2020,-97,-84,-92,-93,-83,,City of London,104,E09000001,-89.25
35,06/04/2020,-96,-85,-92,-93,-80,,City of London,104,E09000001,-88.5
36,07/04/2020,-97,-84,-90,-93,-87,,City of London,104,E09000001,-90.25
37,08/04/2020,-97,-84,-90,-93,-87,,City of London,104,E09000001,-90.25
38,09/04/2020,-97,-82,-90,-93,-84,,City of London,104,E09000001,-89
39,10/04/2020,-98,-88,-93,-96,-89,,City of London,104,E09000001,-92.75
40,13/04/2020,-99,-91,-96,-97,,,City of London,104,E09000001,
41,14/04/2020,-97,-83,-91,-93,-83,,City of London,104,E09000001,-89
42,15/04/2020,-97,-83,-91,-93,-84,,City of London,104,E09000001,-89.25
43,16/04/2020,-97,-84,-93,-93,-82,,City of London,104,E09000001,-89
44,17/04/2020,-97,-83,-93,-93,-82,,City of London,104,E09000001,-88.75
45,20/04/2020,-96,-84,-91,-92,-81,,City of London,104,E09000001,-88.25
46,21/04/2020,-97,-84,-90,-93,-83,,City of London,104,E09000001,-89.25
47,22/04/2020,-97,-83,-90,-93,-84,,City of London,104,E09000001,-89.25
48,23/04/2020,-97,-84,-91,-93,-84,,City of London,104,E09000001,-89.5
49,24/04/2020,-97,-82,-90,-92,-80,,City of London,104,E09000001,-87.75
50,27/04/2020,-96,-83,-91,-92,-80,,City of London,104,E09000001,-87.75
51,28/04/2020,-97,-87,-93,-92,-84,,City of London,104,E09000001,-90
52,29/04/2020,-97,-83,-91,-92,-84,,City of London,104,E09000001,-89
53,30/04/2020,-98,-85,-92,-92,-84,,City of London,104,E09000001,-89.75
54,01/05/2020,-97,-82,-89,-91,-82,,City of London,104,E09000001,-88
55,04/05/2020,-97,-83,-88,-91,-80,,City of London,104,E09000001,-87.75
56,05/05/2020,-97,-84,-88,-91,-84,,City of London,104,E09000001,-89
57,06/05/2020,-97,-82,-87,-91,-81,,City of London,104,E09000001,-87.75
58,07/05/2020,-97,-82,-87,-91,-80,,City of London,104,E09000001,-87.5
