Date,parks,grocery_and_pharmacy,retail_and_recreation,transit_stations,workplaces,residential,new_cases,Borough,crime
Mar,9.806451613,1.967741935,-22.48387097,-23.12903226,-23.09677419,9.419354839,164,Barking and Dagenham,1799
Apr,32.66666667,-30.6,-66.03333333,-60.6,-63.66666667,25.23333333,384,Barking and Dagenham,1272
May,92.93548387,-15.51612903,-60.35483871,-48.70967742,-53.35483871,20.06451613,117,Barking and Dagenham,1451
Jun,95.56666667,-8.466666667,-45.9,-40.8,-41.03333333,15.5,37,Barking and Dagenham,1628
Jul,98.58064516,-9.096774194,-29.67741935,-34.67741935,-37.93548387,11.48387097,58,Barking and Dagenham,1678
Aug,83.375,-13,-21.48387097,-33.70967742,-37.16129032,8.838709677,119,Barking and Dagenham,1629
Sep,76.5,-6.2,-17.63333333,-28.5,-31.23333333,7.266666667,416,Barking and Dagenham,1605
Oct,21.64516129,-8.032258065,-20.87096774,-29.96774194,-28.4516129,8.709677419,1153,Barking and Dagenham,1693
Nov,23.56666667,-5.466666667,-34.86666667,-35.9,-32.56666667,11.83333333,2311,Barking and Dagenham,1718
Dec,10.96774194,-7.774193548,-32.38709677,-43.16129032,-41.06451613,14.09677419,8814,Barking and Dagenham,1487
Mar,15.4516129,2.903225806,-30.16129032,-30.5483871,-29.51612903,12.61290323,553,Barnet,2299
Apr,55.36666667,-29.36666667,-74.43333333,-69.46666667,-72.7,29.36666667,785,Barnet,1662
May,136.3225806,-17.38709677,-64.80645161,-59.4516129,-62.29032258,24.4516129,206,Barnet,1985
Jun,130.7666667,-11.46666667,-49.56666667,-50.26666667,-51.4,20.26666667,38,Barnet,2094
Jul,125.8387097,-12.38709677,-30.12903226,-43.4516129,-46.22580645,15.4516129,107,Barnet,2379
Aug,96.4375,-18,-19.06451613,-43.67741935,-45.03225806,11.61290323,215,Barnet,2378
Sep,77.25,-12.9,-17.63333333,-36.16666667,-39.1,10.8,529,Barnet,2307
Oct,26.48387097,-11.19354839,-22.38709677,-39.22580645,-36.41935484,12.80645161,2065,Barnet,2457
Nov,38.46666667,-11.26666667,-44.03333333,-47.96666667,-42.86666667,16.8,2712,Barnet,2386
Dec,18.70967742,-9.258064516,-35.29032258,-50.74193548,-47.64516129,18.06451613,10200,Barnet,2145
Mar,4.322580645,-0.290322581,-26.80645161,-28.4516129,-24.38709677,10.4516129,205,Bexley,1284
Apr,19.36666667,-30.13333333,-74.76666667,-66.43333333,-66.7,27.13333333,578,Bexley,911
May,87.83870968,-18.5483871,-68.16129032,-56.22580645,-56.29032258,22.48387097,212,Bexley,1224
Jun,76.63333333,-11.46666667,-53.26666667,-47.3,-45.43333333,18.56666667,48,Bexley,1188
Jul,79.19354839,-10.16129032,-33.87096774,-42.5483871,-41.32258065,14.38709677,63,Bexley,1333
Aug,71.25,-13.03225806,-19.58064516,-42.67741935,-39.51612903,11,83,Bexley,1434
Sep,54.3,-8,-20.1,-35.66666667,-35.36666667,9.6,225,Bexley,1301
Oct,18,-8.870967742,-26.90322581,-40.25806452,-32.74193548,11.58064516,1082,Bexley,1299
Nov,26.93333333,-7.233333333,-44.93333333,-47.83333333,-39.1,15.43333333,2513,Bexley,1332
Dec,12.48387097,-5.193548387,-38.32258065,-53.19354839,-46.32258065,17.51612903,8967,Bexley,1171
Mar,15.61290323,3.258064516,-27.58064516,-27.19354839,-26.61290323,11.35483871,584,Brent,2273
Apr,57.6,-30.3,-74.7,-66.56666667,-69.2,28.26666667,881,Brent,2033
May,149.1612903,-16.41935484,-67.06451613,-56.51612903,-59.16129032,22.93548387,185,Brent,2253
Jun,145.4666667,-9.133333333,-51.5,-46.4,-47.26666667,18.3,71,Brent,2407
Jul,141.5806452,-9.387096774,-32.09677419,-40.87096774,-42.22580645,13.80645161,83,Brent,2598
Aug,142.1875,-14.06451613,-19.38709677,-40.64516129,-41.29032258,10.41935484,138,Brent,2594
Sep,114.05,-7.866666667,-18.06666667,-33.5,-37.7,9.266666667,490,Brent,2474
Oct,48.35483871,-8.741935484,-22.03225806,-35.77419355,-34.35483871,10.93548387,1565,Brent,2603
Nov,54.86666667,-5.733333333,-45.1,-42.83333333,-40.7,14.76666667,2626,Brent,2297
Dec,34.5483871,-5.838709677,-37.90322581,-47.41935484,-44.87096774,15.83870968,7932,Brent,2224
Mar,1.516129032,3.193548387,-30.22580645,-32.80645161,-28.67741935,12.09677419,413,Bromley,1767
Apr,10.06666667,-29.1,-77.53333333,-72.5,-73.1,29.2,803,Bromley,1443
May,59.38709677,-19.93548387,-72.22580645,-63.83870968,-62.32258065,24.70967742,263,Bromley,1645
Jun,55.73333333,-13.6,-56.5,-54.86666667,-52.23333333,21.1,32,Bromley,1694
Jul,62.5483871,-12.83870968,-33.29032258,-46.67741935,-47.4516129,16.35483871,32,Bromley,1920
Aug,44.3,-15.5483871,-18.96774194,-44.4516129,-43.80645161,12.5483871,114,Bromley,1784
Sep,39.76190476,-9.866666667,-19.26666667,-37.2,-36.13333333,11.53333333,308,Bromley,1906
Oct,10.87096774,-6.451612903,-23.09677419,-41.25806452,-33.83870968,13.74193548,1284,Bromley,2064
Nov,15.73333333,-8.5,-46.23333333,-48.26666667,-42.16666667,17.8,2030,Bromley,1857
Dec,8.483870968,0.483870968,-35.38709677,-54.06451613,-48.5483871,19.41935484,9955,Bromley,1665
Mar,-14.03225806,-23.5483871,-44.80645161,-45.25806452,-36.87096774,14.34482759,245,Camden,2717
Apr,-29.16666667,-58.66666667,-90.13333333,-89.36666667,-78.43333333,33.25925926,358,Camden,1636
May,22.09677419,-49.38709677,-87.48387097,-84.83870968,-71.22580645,27.5483871,68,Camden,1863
Jun,29.7,-40.36666667,-82.7,-77.4,-62.63333333,24.16666667,24,Camden,2082
Jul,30.48387097,-38.93548387,-70.64516129,-69.35483871,-56.35483871,18.58064516,30,Camden,2434
Aug,18.77777778,-40.90322581,-61.16129032,-64.32258065,-54.5862069,14.03225806,118,Camden,2578
Sep,21.48148148,-35.96666667,-57.66666667,-60.36666667,-49.72413793,13.96666667,261,Camden,2602
Oct,-9.225806452,-35.09677419,-59.41935484,-62.96774194,-45.29032258,16.09677419,1302,Camden,2717
Nov,-4.8,-37.16666667,-75.6,-71.7,-52.2,20.83333333,1225,Camden,2258
